"idPuesto","Puesto","RelacionGerencia"
"PST-0123","Analista de Laboratorio (muestreo)","38"
"PST-0124","COORDINADOR DE LABORATORIO","38"
"PST-0125","ANALISTA LABORATORIO PLANTAS","38"
"PST-0126","Jefe de Calidad del Agua (Coordinador de Monitoreo de Calidad del Agua)","39"
"PST-0127","Coordinador de Logística y Distribución de Cloro","39"
"PST-0128","Jefe de Cuadrilla","39"
"PST-0129","Oficial Operativo (LDC)","39"
"PST-0130","Coordinador de Respuesta y Atención a Quejas","39"
"PST-0131","Oficial Operativo (RAQ)","39"
"PST-0132","Coordinador a Mantenimiento de Equipos Dosificadores","39"
"PST-0133","Analista de Contaminantes","39"
"PST-0134","Oficial Operativo (CA)","39"
"PST-0135","Operador de Equipo Hidoneumático","39"
"PST-0136","Gerente de Saneamiento","40"
"PST-0137","Jefe Planta Alseseca Sur","40"
"PST-0138","Jefe Planta Atoyac","40"
"PST-0139","Jefe de Parque Ecológico ","40"
"PST-0140","Jefe Planta San Francisco","40"
"PST-0141","Coordinador de Subproductos","40"
"PST-0142","Operador de Planta (SF)","40"
"PST-0143","Operador de Planta (PEAR)","40"
"PST-0144","Operador de Planta (AL)","40"
"PST-0145","Operador de Planta (A)","40"
"PST-0146","Operador de Equipo (SF)","40"
"PST-0147","Jefe de Cuadrilla (RD)","40"
"PST-0148","Jefe de Cuadrilla (AT)","40"
"PST-0149","Operador de Equipo (AT)","40"
"PST-0150","Oficial Electromecánico","40"
"PST-0151","Oficial Operativo (SF)","40"
"PST-0152","Oficial Operativo (RD)","40"
"PST-0153","Gerente de Potabilización","41"
"PST-0154","Jefe Planta Jin","41"
"PST-0155","Jefe Planta Quetzalcoatl","41"
"PST-0156","Jefe Planta San Felipe","41"
"PST-0157","Operador de Planta (Jin)","41"
"PST-0158","Operador de Planta (Quet)","41"
"PST-0159","Operador de Planta (SF)","41"
"PST-0160","Auxiliar Operativo (SF)","41"
"PST-0161","Jefe Agua en Bloques, Paseo del Río, Viveros y Zapata","41"
"PST-0162","Operador de Planta (BPR)","41"
"PST-0163","Auxiliar Operativo (BPR)","41"
"PST-0164","Jefe Planta Carmelitas","41"
"PST-0165","Gerente de Supervisión de Obra","42"
"PST-0166","Jefe de Supervisión de Obra","43"
"PST-0167","Superintendente de Obra ","43"
"PST-0168","Residente de Obras ","43"
"PST-0169","JEFE DEPTO MTTO PREVENTIVO Y CORRECTIVO","44"
"PST-0170","JEFE DEPTO MODERNIZACION DE PLANTAS","45"
"PST-0171","Jefe Depto Tecnico Acua","46"
"PST-0172","Analista Tecnico Acua","46"
"PST-0173","Agente Acua","46"
"PST-0174","Agente Ave (Verificador especializado)","47"
"PST-0175","Agente Ave (Ordenes de trabajo factibilidades)","47"
"PST-0176","Jefe Depto Control De Descargas","48"
"PST-0177","Ejecutivo De Control Y Descargas (Excedentes)","48"
"PST-0178","Ejecutivo De Control Y Descargas (Visitas por acto de autoridad)","48"
"PST-0179","Ejecutivo De Control Y Descargas (Video inspección)","48"
"PST-0180","Jefe Depto Facturacion Comercial","49"
"PST-0181","Jefe Depto De Lecturas","50"
"PST-0182","Analista De Region Lecturas","50"
"PST-0183","Supervisor De Lecturas","50"
"PST-0184","Agente Lin","50"
"PST-0185","Tecnico Lin","50"
"PST-0186","Jefe de Soporte Técnico","51"
"PST-0187","Jefe de Ciberseguridad ","52"
"PST-0188","Analista de Ciberseguridad","52"
"PST-0189","Analista Seguridad de la Información","52"
"PST-0190","Jefe de Cartografía","53"
"PST-0191","Coordinador de Sala de Monitoreo","54"
